Director,Film_Country,Film_Date,Film_Name,Film_Rate,Stars
Billy Wilder,Fra,16 September 1960,The Apartment,8.3,"Jack Lemmon,Shirley MacLaine,Fred MacMurray"
Michael Mann,USA,15 December 1995,Heat,8.2,"Al Pacino,Robert De Niro,Val Kilmer"
Pete Docter,USA,29 May 2009,Up,8.2,"Edward Asner,Jordan Nagai,John Ratzenberger"
Stanley Kubrick,USA,10 July 1987,Full Metal Jacket,8.3,"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio"
Frank Capra,USA,19 October 1939,Mr. Smith Goes to Washington,8.1,"James Stewart,Jean Arthur,Claude Rains"
Quentin Tarantino,USA,21 August 2009,Inglourious Basterds,8.3,"Brad Pitt,Diane Kruger,Eli Roth"
Akira Kurosawa,USA,13 September 1961,Yojimbo,8.2,"Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai"
Akira Kurosawa,USA,26 December 1951,Rashomon,8.2,"Toshirô Mifune,Machiko Kyô,Masayuki Mori"
Clyde Bruckman,USA,2 January 1927,The General,8.1,"Buster Keaton,Marion Mack,Glen Cavender"
Milos Forman,USA,19 September 1984,Amadeus,8.3,"F. Murray Abraham,Tom Hulce,Elizabeth Berridge"
Clint Eastwood,USA,7 August 1992,Unforgiven,8.2,"Clint Eastwood,Gene Hackman,Morgan Freeman"
Rakeysh Omprakash Mehra,USA,26 January 2006,Rang De Basanti,8.2,"Aamir Khan,Soha Ali Khan,Siddharth"
George Roy Hill,USA,25 December 1973,The Sting,8.3,"Paul Newman,Robert Redford,Robert Shaw"
John Lasseter,USA,22 November 1995,Toy Story,8.3,"Tom Hanks,Tim Allen,Don Rickles"
Orson Welles,USA,5 September 1941,Citizen Kane,8.3,"Orson Welles,Joseph Cotten,Dorothy Comingore"
Stanley Donen,USA,11 April 1952,Singin' in the Rain,8.3,"Gene Kelly,Donald O'Connor,Debbie Reynolds"
Oliver Stone,USA,6 February 1987,Platoon,8.1,"Charlie Sheen,Tom Berenger,Willem Dafoe"
Michael Curtiz,USA,23 January 1943,Casablanca,8.5,"Humphrey Bogart,Ingrid Bergman,Paul Henreid"
Quentin Tarantino,USA,10 October 2003,Kill Bill: Vol. 1,8.1,"Uma Thurman,David Carradine,Daryl Hannah"
John G. Avildsen,USA,3 December 1976,Rocky,8.1,"Sylvester Stallone,Talia Shire,Burt Young"
Peter Weir,USA,5 June 1998,The Truman Show,8.1,"Jim Carrey,Ed Harris,Laura Linney"
Franklin J. Schaffner,USA,19 December 1973,Papillon,8.0,"Steve McQueen,Dustin Hoffman,Victor Jory"
Curtis Hanson,USA,19 September 1997,L.A. Confidential,8.2,"Kevin Spacey,Russell Crowe,Guy Pearce"
Guy Ritchie,USA,19 January 2001,Snatch,8.3,"Jason Statham,Brad Pitt,Benicio Del Toro"
John Huston,USA,24 January 1948,The Treasure of the Sierra Madre,8.2,"Humphrey Bogart,Walter Huston,Tim Holt"
Charles Chaplin,USA,6 February 1921,The Kid,8.3,"Charles Chaplin,Edna Purviance,Jackie Coogan"
Sergio Leone,USA,1 June 1984,Once Upon a Time in America,8.4,"Robert De Niro,James Woods,Elizabeth McGovern"
Robert Mulligan,USA,16 March 1963,To Kill a Mockingbird,8.2,"Gregory Peck,John Megna,Frank Overton"
Alfred Hitchcock,Net,18 December 1959,North by Northwest,8.3,"Cary Grant,Eva Marie Saint,James Mason"
Alfred Hitchcock,Net,3 February 1959,Vertigo,8.3,"James Stewart,Kim Novak,Barbara Bel Geddes"
Billy Wilder,USA,6 February 1958,Witness for the Prosecution,8.4,"Tyrone Power,Marlene Dietrich,Charles Laughton"
Wolfgang Petersen,USA,10 February 1982,Das Boot,8.3,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann"
Billy Wilder,USA,6 July 1944,Double Indemnity,8.3,"Fred MacMurray,Barbara Stanwyck,Edward G. Robinson"
Asghar Farhadi,Net,11 August 2011,A Separation,8.3,"Payman Maadi,Leila Hatami,Sareh Bayat"
Martin Scorsese,USA,19 February 2010,Shutter Island,8.1,"Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo"
Gore Verbinski,USA,9 July 2003,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,"Johnny Depp,Geoffrey Rush,Orlando Bloom"
Steven Spielberg,USA,24 May 1989,Indiana Jones and the Last Crusade,8.2,"Harrison Ford,Sean Connery,Alison Doody"
Rajkumar Hirani,Net,19 December 2014,PK,8.1,"Aamir Khan,Anushka Sharma,Sanjay Dutt"
John McTiernan,USA,20 July 1988,Die Hard,8.2,"Bruce Willis,Alan Rickman,Bonnie Bedelia"
David Yates,USA,15 July 2011,Harry Potter and the Deathly Hallows: Part 2,8.1,"Daniel Radcliffe,Emma Watson,Rupert Grint"
Martin Scorsese,USA,19 December 1980,Raging Bull,8.2,"Robert De Niro,Cathy Moriarty,Joe Pesci"
Bryan Singer,USA,23 May 2014,X-Men: Days of Future Past,8.0,"Patrick Stewart,Ian McKellen,Hugh Jackman"
Christopher Nolan,USA,15 June 2005,Batman Begins,8.2,"Christian Bale,Michael Caine,Ken Watanabe"
Stanley Kubrick,Net,3 October 1968,2001: A Space Odyssey,8.3,"Keir Dullea,Gary Lockwood,William Sylvester"
Alfred Hitchcock,USA,8 September 1960,Psycho,8.5,"Anthony Perkins,Janet Leigh,Vera Miles"
Mel Gibson,USA,24 May 1995,Braveheart,8.3,"Mel Gibson,Sophie Marceau,Patrick McGoohan"
Frank Capra,USA,7 January 1947,It's a Wonderful Life,8.6,"James Stewart,Donna Reed,Lionel Barrymore"
Roberto Benigni,USA,12 February 1999,Life Is Beautiful,8.6,"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini"
Martin Scorsese,USA,9 February 1976,Taxi Driver,8.3,"Robert De Niro,Jodie Foster,Cybill Shepherd"
Steven Spielberg,USA,12 June 1981,Raiders of the Lost Ark,8.4,"Harrison Ford,Karen Allen,Paul Freeman"
Luc Besson,USA,18 November 1994,Léon: The Professional,8.5,"Jean Reno,Gary Oldman,Natalie Portman"
Yavuz Turgul,Tur,29 November 1996,The Bandit,8.3,"Sener Sen,Ugur Yücel,Sermin Hürmeriç"
Tony Kaye,USA,20 November 1998,American History X,8.5,"Edward Norton,Edward Furlong,Beverly D'Angelo"
David Fincher,USA,22 September 1995,Se7en,8.6,"Morgan Freeman,Brad Pitt,Kevin Spacey"
Bryan Singer,USA,16 August 1995,The Usual Suspects,8.5,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri"
Moustapha Akkad,Fra,8 July 1977,The Message,8.2,"Anthony Quinn,Irene Papas,Michael Ansara"
Lana Wachowski,USA,31 March 1999,The Matrix,8.7,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss"
Martin Scorsese,USA,21 September 1990,Goodfellas,8.7,"Robert De Niro,Ray Liotta,Joe Pesci"
Milos Forman,USA,19 November 1975,One Flew Over the Cuckoo's Nest,8.7,"Jack Nicholson,Louise Fletcher,Will Sampson"
Akira Kurosawa,USA,19 November 1956,Seven Samurai,8.6,"Toshirô Mifune,Takashi Shimura,Keiko Tsushima"
Brian De Palma,USA,9 December 1983,Scarface,8.3,"Al Pacino,Michelle Pfeiffer,Steven Bauer"
George Lucas,USA,25 May 1977,Star Wars: Episode IV - A New Hope,8.6,"Mark Hamill,Harrison Ford,Carrie Fisher"
Irvin Kershner,USA,20 June 1980,Star Wars: Episode V - The Empire Strikes Back,8.7,"Mark Hamill,Harrison Ford,Carrie Fisher"
Isao Takahata,USA,26 July 1989,Grave of the Fireflies,8.5,"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi"
Frank Darabont,USA,10 December 1999,The Green Mile,8.6,"Tom Hanks,Michael Clarke Duncan,David Morse"
Ridley Scott,USA,5 May 2000,Gladiator,8.5,"Russell Crowe,Joaquin Phoenix,Connie Nielsen"
Robert Zemeckis,USA,3 July 1985,Back to the Future,8.5,"Michael J. Fox,Christopher Lloyd,Lea Thompson"
Martin Scorsese,USA,6 October 2006,The Departed,8.5,"Leonardo DiCaprio,Matt Damon,Jack Nicholson"
James Cameron,USA,3 July 1991,Terminator 2: Judgment Day,8.5,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong"
Christopher Nolan,USA,25 May 2001,Memento,8.4,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano"
Christopher Nolan,USA,20 October 2006,The Prestige,8.5,"Christian Bale,Hugh Jackman,Scarlett Johansson"
Christopher Nolan,USA,20 July 2012,The Dark Knight Rises,8.4,"Christian Bale,Tom Hardy,Anne Hathaway"
Christopher Nolan,USA,7 November 2014,Interstellar,8.6,"Matthew McConaughey,Anne Hathaway,Jessica Chastain"
Peter Jackson,USA,18 December 2002,The Lord of the Rings: The Two Towers,8.7,"Elijah Wood,Ian McKellen,Viggo Mortensen"
Robert Zemeckis,USA,6 July 1994,Forrest Gump,8.8,"Tom Hanks,Robin Wright,Gary Sinise"
Sidney Lumet,USA,10 April 1957,12 Angry Men,8.9,"Henry Fonda,Lee J. Cobb,Martin Balsam"
Peter Jackson,USA,19 December 2001,The Lord of the Rings: The Fellowship of the Ring,8.8,"Elijah Wood,Ian McKellen,Orlando Bloom"
Christopher Nolan,USA,16 July 2010,Inception,8.8,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page"
David Fincher,USA,15 October 1999,Fight Club,8.8,"Brad Pitt,Edward Norton,Meat Loaf"
Sergio Leone,USA,29 December 1967,"The Good, the Bad and the Ugly",8.8,"Clint Eastwood,Eli Wallach,Lee Van Cleef"
Francis Ford Coppola,USA,18 December 1974,The Godfather: Part II,9.0,"Al Pacino,Robert De Niro,Robert Duvall"
Peter Jackson,USA,17 December 2003,The Lord of the Rings: The Return of the King,8.9,"Elijah Wood,Viggo Mortensen,Ian McKellen"
Quentin Tarantino,USA,14 October 1994,Pulp Fiction,8.9,"John Travolta,Uma Thurman,Samuel L. Jackson"
Francis Ford Coppola,USA,24 March 1972,The Godfather,9.2,"Marlon Brando,Al Pacino,James Caan"
Christopher Nolan,USA,18 July 2008,The Dark Knight,9.0,"Christian Bale,Heath Ledger,Aaron Eckhart"
